,5折CV均值,5折CV标准差,测试集准确率,测试集F1(宏),测试集F1(加权),测试集精确率(加权),测试集召回率(加权),测试集AUC(OVR)
XGBoost (XGB),0.8926,0.0042,0.8993,0.8883,0.8989,0.8988,0.8993,0.9881
梯度提升树 (GBT),0.8902,0.0021,0.8974,0.8861,0.897,0.8971,0.8974,0.9872
随机森林 (RF),0.8813,0.0053,0.8916,0.8792,0.891,0.8908,0.8916,0.9847
极端随机树 (ET),0.8688,0.0049,0.8774,0.8629,0.8763,0.876,0.8774,0.9778
支持向量机 (SVM),0.8588,0.0033,0.8671,0.8516,0.8663,0.8664,0.8671,0.9808
逻辑回归 (LR),0.8477,0.0042,0.8524,0.8348,0.8507,0.8502,0.8524,0.9769
决策树 (DT),0.8397,0.009,0.8466,0.8296,0.8462,0.8461,0.8466,0.9045
K近邻 (KNN),0.7989,0.0052,0.8239,0.8037,0.8226,0.8224,0.8239,0.9521
朴素贝叶斯 (NB),0.669,0.0072,0.6647,0.625,0.6454,0.6505,0.6647,0.9234
